UIN,Incident_month,Incident_year,Victim_injury,State,Location,Latitude,Longitude,Site_category,Shark_common_name,Provoked_unprovoked,No_sharks,Victim_activity,Shark_behaviour,Victim_aware_of_shark,Injury_location,Injury_severity,Victim_gender,Time_of_incident,Depth_of_incident_m,Data_source,Reference,
275,3,1929,fatal,QLD,"torres strait, dauan island",-9.416666667,142.5333333,island open ocean,tiger shark,unprovoked,,swimming,,N,,,male,,,book,"sharks & survival, whitely.",
276,4,1929,injured,QLD,mackay,-21,149.8833333,coastal,tiger shark,provoked,1,snorkelling,bit victim on hand,,"arm, hand",major lacerations,male,,,media outlet,brisbane courier 18.4.1929,
277,4,1929,injured,QLD,"bribie passage, pumicestone channel",-26.98333333,153.0666667,coastal,bull shark,provoked,1,fishing,bit victim on leg,Y,leg,major lacerations,male,,1,media outlet,brisbane courier 3.5.1929,
278,4,1929,fatal,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,tiger shark,unprovoked,,swimming,,N,thigh,major lacerations,male,1200,,other: inquest report,"sharks & survival, inquest report 9.4.1929",
279,5,1929,injured,QLD,"torres strait, coconut island",-10.05,143.0666667,island open ocean,tiger shark,provoked,1,snorkelling,bit victim mutliple times,N,"leg, pelvic region",major lacerations,male,,,media outlet,sharks & survival courier mail 14.1.1950,
280,9,1929,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,provoked,1,spearfishing,,,leg,major lacerations,male,,,media outlet,brisbane courier 28.9.1929,
281,9,1929,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,unprovoked,,swimming,,N,leg,major lacerations,male,,,media outlet,"sharpe, green, argus 2.9.1929.",
282,10,1929,injured,QLD,"torres strait, badu island",-10.11666667,142.1333333,island open ocean,tiger shark,unprovoked,,swimming,,N,foot,major lacerations,male,,,book,sharks & survival.,
283,12,1929,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,unprovoked,,swimming,,,"torso, leg",major lacerations,male,,,media outlet,cairns post 4.12.1929,
284,12,1929,injured,NSW,"collaroy beach, sydney",-33.71666667,151.3,island open ocean,wobbegong,unprovoked,1,swimming,bit victim on leg,,leg,minor lacerations,female,,1,media outlet,"coppleson, green, shark&survl, argus 17.12.1929",
285,12,1929,fatal,NSW,"balmain, white bay, sydney harbour",-33.85,151.1833333,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,N,"arm, leg, pelvic region",major lacerations,male,,0,media outlet,"green, shark&survl, whitely, canberra times 27.12.1929",
286,12,1929,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,unprovoked,,swimming,,N,"arm, torso",major lacerations,male,,,book,"green, whitely.",
287,12,1929,uninjured,QLD,coolangatta beach,-28.16666667,153.5333333,coastal,,unprovoked,1,swimming,close passes,,other: uninjured,,male,,,media outlet,the canberra times 24.12.1929,
288,1,1930,injured,QLD,"torres strait, moa island",-10.15,142.1833333,island open ocean,tiger shark,provoked,1,spearfishing,bit hand & arm,,arm,major lacerations,male,,4,media outlet,courier mail 14.1.1950,
289,2,1930,fatal,VIC,"port philip bay, middle brighton pier",-37.9,144.9833333,coastal,white shark,unprovoked,1,swimming,bit victim on legs,N,other: body not recovered,,male,1630,0,media outlet,"sharpe, asaf questionnaire, agrus 17.2.1930, ",
290,2,1930,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,unprovoked,,swimming,,N,"arm, torso",major lacerations,male,,,book,whitely.,
291,6,1930,fatal,QLD,"torres strait, mabuiag island",-9.95,142.1833333,island open ocean,tiger shark,unprovoked,,swimming,,N,,,male,,,book,whitely.,
292,7,1930,fatal,QLD,"torres strait, badu island",-10.25,142.1,island open ocean,tiger shark,provoked,,snorkelling,,Y,,,male,,0,media outlet,courier mail 14.1.1950,
293,8,1930,injured,WA,geraldton,-28.76666667,114.6,coastal,wobbegong,provoked,1,fishing,bit victim on leg,,leg,other: teeth marks,male,,,media outlet,the west australian 3.9.1930,
294,12,1930,injured,NSW,"homebush bay, parramatta river, sydney",-33.83333333,151.0666667,river,bull shark,unprovoked,1,swimming,bumped victim with nose,N,torso,abrasion,male,,,media outlet,"sharpe, green. the canberra times 27.12.1930",
295,1,1931,injured,NSW,"spit bridge, middle harbour sydney",-33.8,151.2333333,estuary/harbour,wobbegong,provoked,1,fishing,bit victim on foot,,foot,minor lacerations,male,,,media outlet,"geraldton guardian 12.1.1931, smh 10.1.1931",
296,1,1931,injured,QLD,yeppoon,-23.11666667,150.7333333,coastal,tiger shark,unprovoked,1,swimming,bit victim on torso,N,torso,minor lacerations,male,1600,0,media outlet,"green, whitely, morning bulletin 9.1.1931",
297,1,1931,injured,QLD,torres strait,-10.58333333,142.2166667,island open ocean,tiger shark,provoked,,snorkelling,,N,"leg, pelvic region",major lacerations,male,,,book,shark&survul.,
298,1,1931,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,provoked,1,snorkelling,,,,,male,,,book,whitely book 1940 page 262,
299,3,1931,fatal,QLD,"townsville, ross creek",-19.45,146.6,estuary/harbour,bull shark,provoked,1,swimming,bit victim on leg,N,thigh,major lacerations,male,,1.2,media outlet,"sharpe, green, argus 23.3.1931",
300,11,1931,injured,QLD,innisfail,-17.53333333,146.0166667,coastal,tiger shark,provoked,1,snorkelling,,N,leg,major lacerations,male,,,media outlet,"green, whitely, argus 28.11.1931.",
301,1,1932,injured,QLD,"brisbane river, bremer river",-27.6,152.7666667,river,bull shark,unprovoked,1,swimming,bit victim on leg,,thigh,minor lacerations,male,,,media outlet,brisbane courier 28.1.1932,
302,2,1932,injured,QLD,calliope river,-23.83333333,151.2166667,river,bull shark,provoked,1,fishing,bit foot,,foot,minor lacerations,male,,,media outlet,central queensland herald 11.8.1932,
303,2,1932,injured,NSW,bellambi jetty,-34.36666667,150.9166667,coastal,wobbegong,provoked,1,fishing,bit foot,,foot,minor lacerations,male,,1,media outlet,illawarra mercury 26.2.1932,
304,5,1932,injured,QLD,cairns,-16.91666667,145.7666667,coastal,tiger shark,provoked,,snorkelling,,N,arm,major lacerations,male,,,book,"green, shark&survl, whitely.",
305,5,1932,fatal,QLD,"torres strait, warrior reef",-9.4,142.6666667,island open ocean,tiger shark,unprovoked,,swimming,,N,,,male,,,book,"green, shark&survl.",
306,8,1932,injured,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,unprovoked,,swimming,,N,"leg, pelvic region",major lacerations,male,,,book,"sharks & survival, whitely.",
307,10,1932,injured,NSW,"redhead beach, newcastle",-33,151.7166667,coastal,white shark,unprovoked,1,swimming,bit victim on body,N,torso,minor lacerations,male,1100,,media outlet,"coppleson, green, ndsl journal, newspaper 1.11.1932",
308,12,1932,injured,NT,arnhem land (coastal area),-11.93333333,132.6166667,coastal,tiger shark,unprovoked,,swimming,bit victim on leg,,leg,major lacerations,male,,,media outlet,sunday times (perth) 11.12.1932,
309,1,1933,fatal,QLD,"townsville, strand beach",-19.25,146.8166667,coastal,tiger shark,unprovoked,1,swimming,bit victim,Y,torso,major lacerations,male,,1,media outlet,"green, whitely, argus 5.1.1933.",
310,2,1933,uninjured,WA,"swan river, pelican rock",-31.96666667,115.85,river,bull shark,provoked,1,fishing,rushed at fisherman,,other: uninjured,,male,,1.5,media outlet,bowen independent 10.2.1933,
311,2,1933,injured,QLD,"barrow point, 100km north of cooktown",-14.15,144.5,coastal,tiger shark,provoked,1,snorkelling,bit victim on arm,N,"arm, shoulder",major lacerations,male,,4,media outlet,"green, shark&survl, whitely, brisbane courier 18.2.1933",
312,3,1933,injured,QLD,mackay (50 miles off - gbr),-20.96666667,149.75,ocean/pelagic,tiger shark,provoked,1,snorkelling,bite to leg,,leg,major lacerations,male,,,media outlet,maryborough chronicle 6.4.1933,
313,6,1933,uninjured,NT,"darwin, fanny bay",-12.45,130.8333333,coastal,,provoked,1,fishing,rushed at fisherman,,other: uninjured,,male,,0,media outlet,"argus 28.6.1933, northern standard 27.6.1933",
314,6,1933,injured,QLD,"currumbin creek, currumbin",-28.13333333,153.4666667,estuary/harbour,bull shark,unprovoked,1,swimming,grazed victim on leg,,leg,abrasion,male,,,media outlet,smh 13.6.1933,
315,7,1933,uninjured,WA,broome,-17.96666667,122.1666667,coastal,tiger shark,provoked,1,diving,bit divers suit,,other: uninjured,,male,,,media outlet,the canberra times 6.7.1933,
316,9,1933,fatal,QLD,"thursday island, torre strait",-10.56666667,142.2166667,island open ocean,tiger shark,provoked,1,snorkelling,bit victim on leg,N,thigh,major lacerations,male,,0,media outlet,"western herald 5.9.1933, cairns post 29.11.1933",
317,10,1933,injured,QLD,"barrow point, 100 km north of cooktown",-14.15,144.5,coastal,tiger shark,provoked,1,snorkelling,,N,"arm, hand",major lacerations,male,,,media outlet,"green, shark&survl, courier mail 25.10.1933",
318,10,1933,injured,NSW,evans head,-29.1,153.4333333,coastal,wobbegong,provoked,1,swimming,bit foot,,foot,minor lacerations,male,,,media outlet,northern star 4.10.1933,
319,1,1934,injured,NSW,"georges river,",-33.98333333,151.0666667,river,bull shark,unprovoked,1,swimming,bit victim on torso & arm,N,"arm, torso",minor lacerations,male,,0,media outlet,"green, sharpe, stead 1963, smh 29.1.1934",
320,1,1934,injured,NSW,"queenscliff beach, sydney",-33.78333333,151.2833333,coastal,white shark,unprovoked,1,swimming,bit victim on leg,N,leg,major lacerations,male,1500,,media outlet,"sharpe, green, shark&survl, smh 8.1.1934",
321,1,1934,uninjured,QLD,"gloucester island, bowen",-20,148.45,island open ocean,tiger shark,provoked,1,snorkelling,attacked victim,,other: uninjured,,male,,,media outlet,the queenslander 5.7.1934,
322,2,1934,injured,QLD,"torres strait, adolphus channel ",-10.6,142.6166667,island open ocean,tiger shark,provoked,2,spearfishing,attempted to bite leg,Y,thigh,abrasion,male,,,book,"sharpe, green, baldridge",
323,3,1934,fatal,NSW,"dee why beach, sydney",-33.75,151.3,coastal,white shark,unprovoked,1,swimming,bit victim on legs,N,"leg, pelvic region",major lacerations,male,1500,0,media outlet,"baldridge, green, smh & the telegraph 13.3.1934",
324,4,1934,injured,QLD,"currumbin beach, gold coast",-28.15,153.4833333,coastal,tiger shark,unprovoked,1,swimming,bit victim on leg,N,calf,minor lacerations,male,0920,0,media outlet,"green, shark&survl, whitely, the courier mail 16.4.1934",
325,4,1934,fatal,NSW,"manly, north steyne, sydney",-33.78333333,151.2833333,coastal,white shark,unprovoked,1,swimming,bit victim on leg,N,"leg, torso",major lacerations,male,1230,0,media outlet,"sharpe, green, smh 2.4.1934",
326,8,1934,fatal,QLD,"cardwell, off eva island",-18.23333333,146.3166667,coastal,tiger shark,unprovoked,3,swimming,bit victim on body,N,torso,,male,,1,media outlet,"green, whitely, newspapers, the argus 27.8.1934",
327,10,1934,fatal,QLD,"torres strait, warrior reef",-9.966666667,143.2666667,island open ocean,tiger shark,provoked,,snorkelling,bit  victim on arm,N,arm,major lacerations,male,,,media outlet,"coppleson 1958, cairns post 12.12.1934",
328,10,1934,fatal,NT,"red cliff, cobourg peninsula",-11.66666667,132.5166667,coastal,tiger shark,unprovoked,1,swimming,bit victim on leg,N,"arm, torso, thigh",major lacerations,female,,,media outlet,"northern standard 26.10.1934, smh 1934",
329,12,1934,injured,NSW,"georges river, milpera, sydney",-33.95,151.9666667,river,bull shark,unprovoked,1,swimming,bit victim on arms,N,arm,major lacerations,female,2000,0,media outlet,"sharpe, green, shark&survl, the canberra times 1.1.1935",
