UIN,Incident_month,Incident_year,Victim_injury,State,Location,Latitude,Longitude,Site_category,Shark_common_name,Provoked_unprovoked,No_sharks,Victim_activity,Shark_behaviour,Victim_aware_of_shark,Injury_location,Injury_severity,Victim_gender,Time_of_incident,Depth_of_incident_m,Data_source,Reference,
605,3,1984,injured,WA,waterman reef,-31.83333333,115.75,Coastal,wobbegong,unprovoked,1,other: standing in water,bit victim on leg,N,leg,other: teeth marks,male,,,other person account,barry hutchins wa museum,
606,6,1984,uninjured,TAS,cape raoul,-43.23333333,147.7833333,coastal,white shark,provoked,1,diving,swam towards victim,Y,,,male,,,media outlet,the mercury 16.6.1984,
607,9,1984,injured,NT,port keats,-14.11666667,129.5333333,coastal,tiger shark,unprovoked,1,other: standing in water,bit victim when startled ,N,"arm, head, torso",minor lacerations,female,,0,ASAF questionnaire,,
608,10,1984,uninjured,NSW,"byron bay, suffolk park  beach",-28.68333333,153.6166667,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,other: uninjured,,male,0700,,ASAF questionnaire,a.s.a.f quest - rick morton,
609,10,1984,uninjured,TAS,"the lanterns, fortescue bay",-43.13333333,148,coastal,white shark,provoked,1,diving,circled victim,Y,,,male,,23,media outlet,the mercury 15.10.1984,
610,11,1984,fatal,QLD,"mackay, blacks beach",-21.05,149.1833333,coastal,tiger shark,unprovoked,1,swimming,bit victim,N,"arm, head, torso",major lacerations,male,1200,,media outlet,sun telegraph 2.12.1984,
611,2,1985,uninjured,VIC,jan juc beach,-38.33333333,144.3,coastal,white shark,unprovoked,1,boarding,bit surfboard,Y,,,male,0600,,ASAF questionnaire,,
612,3,1985,injured,WA,watermans beach,-31.85,115.75,island open ocean,wobbegong,provoked,1,diving,swam away after being disturbed,Y,thigh,minor lacerations,female,1030,6,ASAF questionnaire,email 13.2.2015,
613,3,1985,fatal,SA,"wiseman's beach, port lincoln",-34.46666667,136.0166667,coastal,white shark,unprovoked,1,snorkelling,bit victim ,N,torso,major lacerations,female,1230,,media outlet,"papers, taylor.",
614,9,1985,injured,QLD,osprey reef,-13.91666667,146.6166667,coastal,whitetip reef shark,provoked,1,diving,bit hand,Y,"arm, hand",surface wound,male,,26,media outlet,"new zealand dive vol 8, 1986.",
615,12,1985,injured,NSW,north solitary island,-29.91666667,153.3833333,island open ocean,wobbegong,provoked,,diving,bit victim on leg,Y,thigh,other: teeth marks,male,,0,other person account,neville coleman per comm 14.12.1985,
616,1,1986,fatal,QLD,"torres strait, prince of wales island",-10.66666667,142.1833333,island open ocean,tiger shark,provoked,1,spearfishing,,,,,male,,,other person account,book ref 2003,
617,3,1986,injured,NT,"nightcliff beach, darwin",-12.36666667,130.8333333,coastal,wobbegong,provoked,1,swimming,bit leg,N,leg,other: teeth marks,male,,0,media outlet,northern territory news 17.3.1986,
618,5,1986,injured,NSW,"north head, sydney ",-33.81666667,151.3,coastal,wobbegong,unprovoked,1,diving,bit hand,N,"arm, hand",minor lacerations,male,0930,,ASAF questionnaire,,
619,8,1986,injured,NSW,"north head, sydney ",-33.81666667,151.3,coastal,wobbegong,unprovoked,1,diving,,N,thigh,other: teeth marks,female,1130,24,other person account,dr carl edmonds,
621,1,1987,injured,QLD,lizard island,-14.66666667,145.45,island open ocean,tiger shark,unprovoked,1,swimming,,N,calf,minor lacerations,male,0730,0,ASAF questionnaire,,
622,1,1987,injured,QLD,"osprey reef, north horn",-13.91666667,146.6166667,island open ocean,whitetip reef shark,provoked,1,diving,bit victim on body,Y,"torso, pelvic region",abrasion,female,,,witness account,val taylor,
623,2,1987,injured,NSW,"forster, pebbly beach",-32.16666667,152.5166667,ocean/pelagic,wobbegong,provoked,1,diving,bit victim on leg,Y,thigh,other: teeth marks,female,0945,45,ASAF questionnaire,,
624,2,1987,fatal,VIC,mornington peninsula,-38.46666667,144.8833333,coastal,white shark,unprovoked,,boarding,,N,,major lacerations,male,,,media outlet,gybe talk newsletter,
625,3,1987,injured,WA,between twilight & fourth beach,-33.88333333,121.8166667,coastal,white shark,unprovoked,1,boarding,bit victim on leg,Y,leg,,male,1730,,media outlet,,
626,4,1987,injured,WA,"garden island, two people bay",-32.16666667,115.65,estuary/harbour,wobbegong,unprovoked,1,swimming,bit victim on leg,N,leg,other: teeth marks,male,,,other person account,barry hutchins wa museum,
627,9,1987,fatal,SA,"merino rocks, adelaide",-34.91666667,138.5833333,coastal,white shark,unprovoked,1,diving,,N,,,male,,0,media outlet,c.i.b report to a.s.a.f. daily telegraph 21.9.1987,
628,10,1987,injured,NT,edith falls,-14.16666667,132.1833333,coastal,bull shark,unprovoked,1,swimming,bit victim on arm,,arm,minor lacerations,female,,,media outlet,sun day territorian 29.10.1989,
629,12,1987,uninjured,QLD,"the cod hole, near lizard island",-14.66666667,145.45,island open ocean,hammerhead shark ,provoked,1,diving,attempted to bit divers camera,Y,other: uninjured,,male,1200,8,witness account,ben cropp pers comm.,
630,7,1988,injured,NSW,norah head,-33.26666667,151.5666667,coastal,white shark,unprovoked,1,swimming,bit victim on leg,N,calf,minor lacerations,female,,0,media outlet,newcastle herald 17.8.1988,
631,10,1988,injured,SA,moana beach south of adelaide,-34.91666667,138.5833333,coastal,white shark,unprovoked,1,boarding,,N,"leg, hand",other: teeth marks,male,1215,,media outlet,daily mirror 7.10.1988,
632,10,1988,uninjured,QLD,lady musgrave island,-23.9,152.3833333,island open ocean,tiger shark,provoked,,spearfishing,swam towards victim,Y,other: uninjured,,male,,,media outlet,gold coast weekender 20.2.99.,
633,10,1988,injured,VIC,"surfies point, phillip island",-38.5,145.2666667,coastal,white shark,unprovoked,1,boarding,bit surfboard,Y,calf,minor lacerations,male,1500,,ASAF questionnaire,"questionnaire, age paper 24.10.88.",
634,11,1988,fatal,QLD,yeppoon,-23.11666667,150.7333333,coastal,tiger shark,unprovoked,3,swimming,swam away - body in mouth,Y,torso,,male,,0,media outlet,"mr james coucom, smh 10.11.1988",
635,11,1988,fatal,QLD,yeppoon,-23.11666667,150.7333333,coastal,tiger shark,unprovoked,2,swimming,,N,,,male,,,media outlet,"mr james coucom, smh 10.11.1988",
636,1,1989,injured,NSW,"south head, sydney ",-33.86666667,151.2,coastal,wobbegong,provoked,1,diving,bit victim on arm,Y,arm,,male,,23,other questionnaire (ISAF),,
637,1,1989,uninjured,VIC,"surfies beach, phillip island",-38.5,145.2666667,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,other: uninjured,,male,1700,0,ASAF questionnaire,,
638,1,1989,injured,WA,"rottnest island, parker point",-32,115.5166667,coastal,wobbegong,unprovoked,1,snorkelling,bit victim on leg - thigh,N,leg,other: teeth marks,male,1400,,other person account,barry hutchins wa museum,
639,1,1989,injured,NSW,"ballina south, half tide beach",-28.88333333,153.55,coastal,white shark,unprovoked,1,boarding,bit victim & board,N,torso,other: teeth marks,male,1600,0,media outlet,daily telegraph 4.1.1989,
640,3,1989,uninjured,WA,"broome, roebuck bay",-17.96666667,122.2333333,coastal,tiger shark,provoked,1,snorkelling,bit kayak,Y,,,male,1100,,ASAF questionnaire,,
641,3,1989,injured,QLD,"torres strait, badu island harbour",-10.11666667,142.1333333,island open ocean,whaler shark,provoked,1,spearfishing,bit victim on leg,N,thigh,minor lacerations,male,1630,4,ASAF questionnaire,,
642,3,1989,fatal,SA,"waitpinga beach, encounter bay",-35.63333333,138.4833333,coastal,white shark,unprovoked,,boarding,bit victim on leg,N,thigh,major lacerations,male,2015,0,media outlet,daily news perth 10.3.1989,
643,8,1989,uninjured,NSW,lennox head,-28.78333333,153.5833333,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,other: uninjured,,male,0630,0,ASAF questionnaire,,
644,10,1989,uninjured,TAS,"shelly point, scamander",-41.43333333,148.2666667,estuary/harbour,white shark,unprovoked,1,boarding,bit surfboard,Y,,,male,1450,0,ASAF questionnaire,,
645,10,1989,injured,NT,edith falls,-14.16666667,132.1833333,coastal,bull shark,unprovoked,1,swimming,bit victim on leg,,thigh,minor lacerations,female,,,media outlet,territorian 29.10.1989,
646,11,1989,injured,VIC,kilcunda,-38.53333333,145.4666667,coastal,white shark,unprovoked,1,boarding,bit victim & board,Y,thigh,minor lacerations,male,1930,0,ASAF questionnaire,,
647,11,1989,injured,QLD,"mermaid waters, gold coast (canal)",-28.03333333,153.4,river,bull shark,unprovoked,1,swimming,grazed victim w/skin,N,calf,minor lacerations,male,1800,,media outlet,gold coast bulletin 6.11.1989,
648,12,1989,injured,WA,capes area,-16.38333333,122.9166667,island open ocean,wobbegong,unprovoked,1,diving,bit victim on arm,N,"arm, hand",other: teeth marks,male,,,other person account,barry hutchins wa museum 2006,
649,12,1989,injured,NT,"gove peninsula, cape wirrawoi",-12.28333333,136.8166667,coastal,tiger shark,provoked,1,swimming,bit victim on leg,Y,leg,minor lacerations,male,,0,media outlet,sunday sun 10.12.1989,
650,4,1990,uninjured,QLD,"greenmount point, coolangatta",-28.15,153.5333333,coastal,tiger shark,unprovoked,1,boarding,bit surfboard,N,other: uninjured,,male,0600,,media outlet,"asaf. meshed beach,newspapers",
651,4,1990,uninjured,NSW,"tweed heads, fingal",-28.18333333,153.55,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,other: uninjured,,male,,0,media outlet,sunday telegraph 8.4.90.,
652,4,1990,fatal,QLD,"dingo reef, off townsville",-19.16666667,148.3833333,island open ocean,tiger shark,provoked,1,snorkelling,bit victim,N,torso,,male,1400,1,media outlet,"wa fisheries, twin cities advertiser 12.4.90.",
653,5,1990,injured,QLD,"opal reef, port douglas",-16.21666667,145.8833333,ocean/pelagic,hammerhead shark ,provoked,1,snorkelling,grazed victim on leg,Y,calf,abrasion,female,1200,0,ASAF questionnaire,"ben cropp,see rainer moessinger, the cairns post 12.5.1990",
654,5,1990,injured,QLD,"opal reef, port douglas",-16.21666667,145.8833333,island open ocean,hammerhead shark ,provoked,1,snorkelling,bit victim on arm,Y,"arm, hand",other: teeth marks,male,1200,0,ASAF questionnaire,"see fiona petrie file, ben cropp, the cairns post 12.5.1990",
655,9,1990,injured,QLD,rainbow beach. near gympie,-25.9,153.0833333,coastal,wobbegong,unprovoked,1,other: standing in water,bit victim on foot,N,foot,abrasion,male,0830,1,media outlet,gympie times article,
656,10,1990,injured,QLD,"mermaid waters, gold coast (canal)",-28.03333333,153.4,river,bull shark,unprovoked,1,swimming,bit victim on leg - thigh,N,"leg, pelvic region",major lacerations,male,2000,0,media outlet,"australian 2.29.90,s.m.h. 29.9.90",
657,10,1990,injured,SA,"goolwa beach, adelaide",-35.51666667,138.7666667,coastal,white shark,unprovoked,1,boarding,bit victim on foot,N,foot,minor lacerations,male,1030,,media outlet,the news. adelaide 26.10.90 & r.fox,
658,11,1990,injured,QLD,surfers paradise (canals),-28,153.4166667,river,bull shark,unprovoked,1,swimming,bit victim on arm,Y,"arm, torso, pelvic region",minor lacerations,male,1640,,ASAF questionnaire,,
659,1,1991,injured,QLD,gladstone harbour,-23.83333333,151.25,coastal,,unprovoked,1,boarding,,N,leg,minor lacerations,male,1745,0,media outlet,gladestone observer 15.1.91.,
660,1,1991,uninjured,VIC,"queenscliff beach, melbourne",-38.26666667,144.65,coastal,bronze whaler shark,provoked,1,spearfishing,bit collecting bag,Y,other: uninjured,,male,,,media outlet,mirror-telegraph 4.1.91.,
661,1,1991,uninjured,NSW,"putty beach, central coast",-33.51666667,151.3666667,coastal,dusky shark,unprovoked,1,snorkelling,swam towards victim,Y,other: uninjured,,male,1500,2,witness account,personal comm & asaf questionnaire,
662,1,1991,injured,QLD,"mermaid waters, gold coast (canal)",-28.03333333,153.4,river,bull shark,unprovoked,1,swimming,bumped leg,N,"leg, pelvic region",minor lacerations,male,0830,1,ASAF questionnaire,the sunday times article + asaf,
663,3,1991,injured,NSW,"bass point, wollongong",-34.56666667,150.8666667,coastal,grey nurse shark,provoked,1,diving,bit victim on leg,Y,"arm, leg",minor lacerations,male,1600,,media outlet,daily telegraph mirror 5.3.91.,
664,9,1991,fatal,SA,aldinga beach,-35.28333333,138.4333333,coastal,white shark,unprovoked,1,diving,bit victim on body,N,torso,major lacerations,male,1435,8,ASAF questionnaire,"d. roberts/r. fox, news report",
665,11,1991,injured,WA,"backbeach, halls head",-32.51666667,115.7,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,leg,abrasion,male,,,media outlet,coastal dist. times 16.11.91. wa.,
666,1,1992,injured,QLD,"duranbah, north of tweed heads",-28.16666667,153.5333333,coastal,white shark,unprovoked,1,boarding,knocked victim off board,Y,leg,major lacerations,male,2000,,ASAF questionnaire,victims report,
667,2,1992,uninjured,QLD,"nielson park, bundaberg",-24.86666667,152.35,coastal,tiger shark,unprovoked,1,boarding,bit surf ski,N,other: uninjured,,male,,,media outlet,news mail bundaberg 11.2.1992,
668,3,1992,uninjured,QLD,"evandale channal,chevron is",-27.98333333,153.3333333,river,bull shark,provoked,1,,swam towards victim,Y,other: uninjured,,male,,0,media outlet,gold coast bull.12.3.92.,
669,3,1992,injured,VIC,"port phillip bay, point lonsdale, west melbourne",-38.28333333,144.6,coastal,white shark,unprovoked,1,boarding,bit surfboard,N,"leg, pelvic region",minor lacerations,male,1130,,media outlet,mirror/tele 11.3.92. p.coutin,
670,8,1992,injured,SA,"lipson cove, tumby bay",-34.25,135.1666667,coastal,white shark,unprovoked,1,boarding,bit surfboard,Y,torso,minor lacerations,male,1750,,ASAF questionnaire,,
671,10,1992,fatal,QLD,"moreton island, brisbane",-27.08333333,153.4,coastal,white shark,unprovoked,1,boarding,bit victim & board,N,,major lacerations,male,1430,0,media outlet,tele-mirror 5.10.92.& asaf quest.,
672,1,1993,injured,QLD,"line reef, 50k off hayman island",-20.05,148.8833333,island open ocean,whitetip reef shark,provoked,1,spearfishing,bit victim on arm,Y,arm,minor lacerations,male,0900,,media outlet,courier mail 6.12.1993,
673,4,1993,uninjured,TAS,"tenth island, georgetown",-40.93333333,146.9833333,island open ocean,white shark,provoked,1,spearfishing,swam towards victim,Y,other: uninjured,,male,,,media outlet,daily tele-mirror 9.6.1993,
674,4,1993,injured,SA,point clinton,-34.21666667,138.0166667,coastal,white shark,provoked,1,spearfishing,bit victim on leg,N,calf,minor lacerations,male,1915,1,other person account,"personal communications, questionnaire",
675,6,1993,fatal,TAS,"tenth island, georgetown",-40.93333333,146.9833333,island open ocean,white shark,unprovoked,1,diving,bit victim on body,N,other: body not recovered,,female,1100,5,media outlet,paper articles,
676,6,1993,fatal,NSW,"byron bay, julian rocks",-28.63333333,153.6166667,coastal,white shark,unprovoked,1,diving,bit victim on body,Y,torso,major lacerations,male,0930,3,government report,police report/report by r. hyde,
677,11,1993,fatal,WA,"broome, roebuck bay",-17.96666667,122.2333333,Coastal,tiger shark,provoked,1,diving,bit victim,N,,major lacerations,male,1600,8,media outlet,"several articles, per comm 27.11.1993",
678,12,1993,uninjured,QLD,"rockhampton, farnborough beach",-23.36666667,150.5,coastal,whaler shark,unprovoked,1,boarding,grazed victim w/skin,Y,other: uninjured,,male,,1,media outlet,morning bulletin rockhamton 16.12.993,
679,1,1994,injured,QLD,"brisbane river, karana downs reach ",-27.53333333,153.8333333,river,bull shark,unprovoked,1,swimming,bit victim on leg - thigh,N,thigh,minor lacerations,male,1330,0,ASAF questionnaire,allan marshall - sea world,
680,1,1994,injured,QLD,"buds beach, gold coast canal",-27.98333333,153.4166667,river,bull shark,unprovoked,1,swimming,bit victim on leg,N,foot,minor lacerations,male,,1,media outlet,"dr david green, sunday telegraph 23.1.1994",
681,2,1994,injured,SA,"stinky bay, nora creina",-37.31666667,139.8333333,coastal,wobbegong,provoked,1,fishing,bit victim on foot,Y,foot,other: teeth marks,male,2000,1,media outlet,south eastern times 14.2.94.,
682,4,1994,injured,QLD,"broadbeach, surfers paradise",-27.93333333,153.4166667,coastal,whaler shark,unprovoked,1,swimming,bit hand,N,"arm, hand",other: teeth marks,female,0945,1,media outlet,gold coast bulletin 8.4.94.,
683,11,1994,injured,VIC,mornington peninsula (pier),-38.46666667,144.8833333,coastal,wobbegong,provoked,1,diving,bit victim on body,N,torso,other: teeth marks,male,,9,victim account,personal interview & questionnaire,
684,2,1995,uninjured,VIC,"seal rocks, phillip island",-38.51666667,145.0833333,island open ocean,sevengill shark,provoked,1,diving,swam towards victim,Y,,,male,0730,10,ASAF questionnaire,,
685,2,1995,injured,SA,"boomer beach, port elliot",-35.53333333,138.6666667,coastal,wobbegong,unprovoked,1,boarding,bit victim on foot,N,foot,other: teeth marks,male,,1,media outlet,mount barker courier 1.3.96.,
686,3,1995,injured,SA,cactus beach,-32.08333333,132.9666667,coastal,white shark,unprovoked,1,boarding,bit victim on arm,Y,arm,minor lacerations,male,0730,0,media outlet,tele mirror 13.3.95.,
687,3,1995,uninjured,NSW,"clark island, sydney harbour",-33.85,151.2333333,estuary/harbour,bull shark,unprovoked,1,boarding,knocked victim off board,Y,other: uninjured,,female,0700,,media outlet,tele-mirror 24.3.95.,
688,4,1995,injured,NSW,eden,-37.05,149.9,coastal,wobbegong,unprovoked,1,diving,bit victim ,N,"arm, hand",minor lacerations,male,,,media outlet,daily telegraph 9.5.96.,
689,5,1995,uninjured,WA,"bernier island, shark bay",-24.83333333,113.1333333,island open ocean,tiger shark,unprovoked,1,diving,swam towards victim,Y,other: uninjured,,male,1000,2,ASAF questionnaire,"barry hutchins wa museum, questionnaire",
690,9,1995,fatal,WA,"hopetoun, starvation bay",-33.88333333,120.6833333,coastal,white shark,unprovoked,1,diving,,N,torso,major lacerations,male,1500,10,media outlet,paper articals general,
691,10,1995,injured,QLD,"hervey bay, pialba",-25,152.8333333,coastal,tiger shark,unprovoked,1,other: standing in water,bit victim on leg,N,leg,minor lacerations,female,1500,1,media outlet,tele mirror 12.10.95.,
692,11,1995,injured,NSW,"brooms head, lake arragan",-29.53333333,153.3333333,estuary/harbour,bull shark,provoked,1,,bit victim on leg,N,thigh,other: teeth marks,male,,1,media outlet,daily examiner 13.11.95.,
693,11,1995,injured,QLD,"fishermans beach, great keppel",-23.16666667,150.95,coastal,tiger shark,unprovoked,1,swimming,bit victim on leg,N,leg,minor lacerations,male,1600,,media outlet,gladstone observer 23.11.1995,
694,12,1995,injured,NSW,"little patonga beach, hawkesbury river",-33.55,151.2666667,estuary/harbour,bull shark,unprovoked,1,swimming,bumped victim with nose,Y,arm,abrasion,male,1530,1,media outlet,manly daily 4.1.96.,
695,1,1996,injured,QLD,"coomera river mouth, gold coast",-27.85,153.4,estuary/harbour,bull shark,unprovoked,1,other: standing in water,bit victim on leg,N,calf,minor lacerations,female,1400,0,media outlet,gold coast bull. 23.1.96,
696,1,1996,injured,WA,"mutton bird island, albany",-35.05,117.6833333,island open ocean,wobbegong,provoked,1,spearfishing,bit victim on leg,Y,leg,other: teeth marks,male,1515,10,ASAF questionnaire,wa fisheries researcher,
697,2,1996,injured,NSW,"parramatta river, sydney",-33.86666667,151.2,coastal,bull shark,unprovoked,1,swimming,bit victim on leg,N,thigh,other: teeth marks,male,0130,,media outlet,daily telegraph 29.2.96.,
698,2,1996,injured,NSW,"lord howe island, ned's beach",-31.51666667,159.05,coastal,galapagos shark,provoked,1,other: standing in water,bit victim on foot,N,foot,minor lacerations,male,,1,media outlet,daily telegraph 5.2.96.,
699,3,1996,injured,QLD,"heron island, barrier reef",-23.43333333,151.9,island open ocean,whaler shark,unprovoked,1,swimming,bit victim on arm,N,"arm, leg",minor lacerations,female,0700,1,media outlet,suday telegraph 10.3.96.,
700,4,1996,injured,NSW,"mona vale beach, sydney",-33.66666667,151.3,coastal,wobbegong,unprovoked,1,swimming,bit victim on leg,N,leg,other: teeth marks,female,,,media outlet,daily tele 27.4.96.,
701,4,1996,injured,NSW,"mona vale beach, sydney",-33.66666667,151.3,river,wobbegong,unprovoked,1,swimming,bit victim on leg,N,thigh,other: teeth marks,male,,,media outlet,see aya hamaea case,
702,6,1996,uninjured,VIC,suicide point at point leo,-38.41666667,145.0666667,coastal,white shark,unprovoked,1,boarding,bumped surfboard,Y,other: uninjured,,male,1730,,media outlet,the advertiser 8.6.96.,
703,9,1996,injured,WA,"rottnest island, parker point",-32,115.5166667,island open ocean,wobbegong,unprovoked,1,other: standing in water,bit victim on leg,N,thigh,abrasion,male,,1,other person account,barry hutchins wa museum,
704,12,1996,injured,VIC,anglesea beach,-38.41666667,144.1833333,estuary/harbour,wobbegong,unprovoked,1,boarding,bit victim on leg,N,leg,other: teeth marks,female,,1,media outlet,mar. & fw research inst. of vic.,
705,12,1996,injured,QLD,"sunshine coast, coolumn beach",-26.5,153,coastal,wobbegong,unprovoked,1,boarding,bit victim on foot,N,foot,minor lacerations,female,1800,,media outlet,"qld fisheries report, sunshine coast daily 30.12.1996",
706,1,1997,injured,QLD,"whitehaven beach, whitsunday island",-20.25,148.9666667,coastal,tiger shark,unprovoked,1,snorkelling,second attempt to bite,N,leg,minor lacerations,male,1100,,media outlet,courier mail 27.1.97.,
707,1,1997,injured,QLD,"rainbow bay, coolangatta",-28.15,153.5333333,coastal,bull shark,unprovoked,1,boarding,bit victim on leg,N,leg,other: teeth marks,male,1300,,media outlet,daily news 22.1.97,
708,1,1997,uninjured,VIC,"seal rocks, phillip island",-38.51666667,145.0833333,island open ocean,white shark,unprovoked,1,unmotorised boating,bit rubber dinghy,N,other: uninjured,,male,,,media outlet,mar & fw research inst of vic,
709,2,1997,injured,QLD,"ravens cove, whitsundays",-20.26666667,148.9,coastal,grey reef shark,unprovoked,1,diving,bit victim on arm,N,"arm, shoulder",minor lacerations,male,1045,,ASAF questionnaire,,
710,2,1997,injured,QLD,"nerang river, 14km upstream",-27.98333333,153.3333333,river,bull shark,unprovoked,1,swimming,bit victim on leg,N,leg,major lacerations,female,1330,,ASAF questionnaire,questionnaire & newspapers 1997,
711,2,1997,uninjured,NSW,"parramatta river, sydney",-33.86666667,151.2,river,bull shark,unprovoked,1,unmotorised boating,bumped rowing scull,N,other: uninjured,,female,0615,,media outlet,sydney morning herald 4.2.97,
712,7,1997,injured,QLD,"maroochydore, pincushion",-26.65,153.1,coastal,tiger shark,unprovoked,1,boarding,bit victim on leg,N,calf,minor lacerations,male,1400,,ASAF questionnaire,"questionnaire, qld fisheries",
713,10,1997,injured,WA,"cottesloe beach, perth",-31.98333333,115.75,coastal,white shark,unprovoked,1,boarding,bit surf ski,N,head,abrasion,male,0630,,media outlet,the west australian 29.10.1997,
714,11,1997,uninjured,VIC,surf coast - 13th beach,-38.28333333,144.45,coastal,white shark,unprovoked,1,boarding,swam towards victim,N,other: uninjured,,male,1515,,media outlet,geelong advertiser 11.11.97.,
715,11,1997,injured,WA,albany,-35.13333333,117.95,coastal,white shark,unprovoked,1,diving,bit victim on arm,N,"arm, shoulder",minor lacerations,male,,42,media outlet,the australian 11.11.97.,
716,12,1997,injured,WA,gnarabup beach,-33.98333333,114.9833333,coastal,wobbegong,unprovoked,1,other: standing in water,,N,leg,minor lacerations,male,0900,1,media outlet,augusta margret river mail 30.12.97,
717,12,1997,injured,NSW,"evans head, shark bay",-29.1,153.4333333,coastal,wobbegong,unprovoked,1,swimming,bit victim on leg,N,leg,minor lacerations,male,1530,,media outlet,northern star-lismore 2.12.97.,
718,12,1997,injured,QLD,"luncheon bay, hook island",-20.11666667,148.9166667,coastal,bull shark,unprovoked,1,swimming,bit victim on leg,N,leg,minor lacerations,male,,,government report,peter tanner qld fisheries,
719,1,1998,injured,WA,hamelin bay,-34.21666667,115.0166667,island open ocean,wobbegong,provoked,1,diving,bit victim on leg,N,calf,minor lacerations,male,1000,15,ASAF questionnaire,,
720,1,1998,uninjured,QLD,"orpheus island, juno bay",-18.66666667,146.5,island open ocean,tiger shark,unprovoked,1,snorkelling,swam towards victim,,other: uninjured,,male,0600,0,ASAF questionnaire,"questionnaire, courier mail 24.11.2000",
721,1,1998,injured,SA,"middleton beach, adelaide",-35.5,138.7,coastal,wobbegong,unprovoked,1,boarding,bit victim on leg,N,foot,other: teeth marks,male,,0,media outlet,sunday mail 18.1.98,
722,6,1998,fatal,SA,south neptune island,-35.31666667,136.1,coastal,white shark,unprovoked,1,snorkelling,bit victim on leg,N,"torso, leg",major lacerations,male,1400,2,media outlet,rodney fox,
723,9,1998,injured,NSW,jervis bay,-35.03333333,150.7166667,coastal,wobbegong,unprovoked,1,diving,,N,thigh,minor lacerations,male,,,media outlet,questionnaire sent 11.11.98.,
724,10,1998,injured,QLD,sunshine coast,-26.5,153,coastal,wobbegong,provoked,1,diving,bit hand,Y,"arm, hand",minor lacerations,male,1400,14,ASAF questionnaire,"personal comm, steve irwin",
725,12,1998,injured,SA,"middleton beach, adelaide",-35.5,138.7,coastal,wobbegong,unprovoked,1,boarding,bit victim on leg,N,calf,other: teeth marks,female,,,media outlet,daily telegraph 23.12.98.,
726,12,1998,injured,NSW,"botany bay, sydney",-33.95,151.15,estuary/harbour,whaler shark,provoked,1,spearfishing,bit victim on leg,N,calf,minor lacerations,male,,,media outlet,tele-mirror 10.12.98.,
727,2,1999,injured,NSW,"nambucca heads, scott's head beach ",-30.56666667,152.9833333,ocean/pelagic,white shark,unprovoked,1,boarding,bumped surfboard,N,arm,minor lacerations,male,1930,0,ASAF questionnaire,"hec goodall, sunshine coast daily 2.3.1999",
728,5,1999,fatal,SA,flaherty's beach hardwicke bay,-34.88333333,137.45,coastal,white shark,unprovoked,1,boarding,,N,torso,major lacerations,male,1600,,media outlet,daily telegraph 31.5.99.,
729,10,1999,injured,QLD,"stradbroke island, amity point",-27.38333333,153.4333333,coastal,wobbegong,provoked,1,diving,bit victim on leg,N,thigh,minor lacerations,male,,,witness account,personal comm. 2000,
730,12,1999,uninjured,NSW,"forster, the pinnacle",-32.21666667,152.6,ocean/pelagic,bronze whaler shark,unprovoked,1,diving,struck victim with tail,N,other: uninjured,,male,0930,15,ASAF questionnaire,fishermans wharf dive centre 8.5.2001,
731,12,1999,uninjured,WA,"scarborough beach, perth",-31.88333333,115.75,coastal,white shark,provoked,1,diving,swam towards victim,Y,other: uninjured,,male,,10,media outlet,the west australian,
732,2,2000,uninjured,NSW,"wanda beach, sydney",-34.03333333,151.15,coastal,white shark,unprovoked,1,boarding,knocked victim off board,N,other: uninjured,,male,1210,,ASAF questionnaire,,
733,2,2000,injured,SA,"cactus beach, point sinclair, ceduna",-32.08333333,132.9833333,coastal,white shark,unprovoked,1,boarding,bit victim & board,N,"arm, torso",major lacerations,male,1100,0,media outlet,the advertiser 5.2.00.,
734,2,2000,injured,WA,sorrento beach,-31.81666667,115.7333333,coastal,wobbegong,unprovoked,1,swimming,bit victim on leg,N,foot,other: teeth marks,male,0545,1,media outlet,the west australian 4.3.2000,
735,3,2000,injured,QLD,"main beach, gold coast",-27.96666667,153.4166667,coastal,white shark,unprovoked,1,swimming,bit victim on leg,N,calf,major lacerations,male,1410,,ASAF questionnaire,asaf questionnaire 31.3.2000,
736,3,2000,injured,WA,margaret river  nr perth,-31.95,115.0666667,coastal,white shark,unprovoked,1,boarding,bit victim on leg,N,thigh,minor lacerations,male,1830,,media outlet,augusta magaret river mail 15.3.00,
737,3,2000,uninjured,NSW,"mcmasters beach, central coast",-33.48333333,151.4166667,coastal,white shark,unprovoked,1,boarding,bit surfboard leg rope,N,other: uninjured,,male,1930,,ASAF questionnaire,central coast express advocate 15.3.2000,
738,3,2000,injured,NSW,"athol bay, taronga wharf, sydney harbour",-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,1,swimming,bit victim on leg,Y,foot,other: teeth marks,male,,,ASAF questionnaire,"pers. comm., mosman daily 9.3.2000 ",
739,3,2000,uninjured,NSW,"parramatta river, sydney",-33.86666667,151.2,river,bull shark,unprovoked,1,unmotorised boating,bit boat hull,Y,other: uninjured,,male,,,media outlet,sun herald 12.3.2000,
